title,release_date,original_price,price,discount_percentage,review_summary,url,platforms
Steam Deck,"17 Jan, 2025",N/A,"419,00€",N/A,N/A,https://store.steampowered.com/app/1675200/Steam_Deck/?snr=1_7_7_7000_150_1,"Windows, Mac, Linux"
Counter-Strike 2,"21 Aug, 2012",N/A,Free,N/A,"Very Positive<br>86% of the 2,447,385 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1,"Windows, Linux"
ARC Raiders,"30 Oct, 2025",N/A,"39,99€",N/A,"Very Positive<br>88% of the 109,296 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1808500/ARC_Raiders/?snr=1_7_7_7000_150_1,Windows
IdleOn,"6 Nov, 2025",N/A,Free,N/A,"Very Positive<br>80% of the 19,414 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1476970/IdleOn/?snr=1_7_7_7000_150_1,Windows
Euro Truck Simulator 2,"12 Oct, 2012","19,99€","4,99€",-75%,"Overwhelmingly Positive<br>97% of the 134,163 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_7000_150_1,"Windows, Mac, Linux"
Anno 117: Pax Romana,"12 Nov, 2025",N/A,"59,99€",N/A,"Mixed<br>68% of the 3,574 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3274580/Anno_117_Pax_Romana/?snr=1_7_7_7000_150_1,Windows
Where Winds Meet,"14 Nov, 2025",N/A,Free,N/A,"Very Positive<br>88% of the 44,592 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3564740/Where_Winds_Meet/?snr=1_7_7_7000_150_1,Windows
Total War: WARHAMMER III,"16 Feb, 2022","59,99€","14,99€",-75%,"Mixed<br>68% of the 50,597 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_7000_150_1,"Windows, Mac, Linux"
Cyberpunk 2077,"9 Dec, 2020","59,99€","20,99€",-65%,"Very Positive<br>88% of the 357,089 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_7000_150_1,"Windows, Mac"
Battlefield™ 6,"10 Oct, 2025",N/A,"69,99€",N/A,"Mostly Positive<br>73% of the 119,127 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2807960/Battlefield_6/?snr=1_7_7_7000_150_1,Windows
