title,release_date,price,review_summary,url,discount_percentage,platforms
Steam Deck,"17 Jan, 2025",N/A,N/A,https://store.steampowered.com/app/1675200/Steam_Deck/?snr=1_7_7_7000_150_1,N/A,"Windows, Mac, Linux"
Counter-Strike 2,"21 Aug, 2012",N/A,"Very Positive<br>86% of the 2,447,370 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1,N/A,"Windows, Linux"
ARC Raiders,"30 Oct, 2025",N/A,"Very Positive<br>88% of the 109,257 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1808500/ARC_Raiders/?snr=1_7_7_7000_150_1,N/A,Windows
IdleOn,"6 Nov, 2025",N/A,"Very Positive<br>80% of the 19,414 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1476970/IdleOn/?snr=1_7_7_7000_150_1,N/A,Windows
Euro Truck Simulator 2,"12 Oct, 2012",N/A,"Overwhelmingly Positive<br>97% of the 134,161 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_7000_150_1,N/A,"Windows, Mac, Linux"
Where Winds Meet,"14 Nov, 2025",N/A,"Very Positive<br>88% of the 44,576 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3564740/Where_Winds_Meet/?snr=1_7_7_7000_150_1,N/A,Windows
Anno 117: Pax Romana,"12 Nov, 2025",N/A,"Mixed<br>68% of the 3,572 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/3274580/Anno_117_Pax_Romana/?snr=1_7_7_7000_150_1,N/A,Windows
Total War: WARHAMMER III,"16 Feb, 2022",N/A,"Mixed<br>68% of the 50,592 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_7000_150_1,N/A,"Windows, Mac, Linux"
Clair Obscur: Expedition 33,"24 Apr, 2025",N/A,"Overwhelmingly Positive<br>97% of the 80,750 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/?snr=1_7_7_7000_150_1,N/A,Windows
Star Wars Outlaws,"21 Nov, 2024",N/A,"Mostly Positive<br>72% of the 4,492 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",https://store.steampowered.com/app/2842040/Star_Wars_Outlaws/?snr=1_7_7_7000_150_1,N/A,Windows
